GAME-ID,DATE,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,PACE,team,home_away,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOTR,Assists,PF,ST,TO,total_TO,BL,PTS,opp_PTS,POSS,OEFF,DEFF,rest_days,EFG,OREB,FTR,TOVR,opp_EFG,opp_OREB,opp_FTR,opp_TOVR,opp_team,opp_FG,opp_FGA,opp_3P,opp_3PA,opp_FT,opp_FTA,opp_OR,opp_DR,opp_TOT,opp_A,opp_PF,opp_ST,opp_TO,opp_total_TO,opp_BL,opp_POSS,opp_OEFF,opp_DEFF,opp_rest_days,win,EFG_diff
21800041,10/22/2018,-9,221,-8.5,225,101.1808494,Toronto,H,50,87,15,39,12,14,5,41,46,36,21,10,13,15,8,127,106,101.1808494,125.5178235,104.7629078,3IN4,0.66091954,0.15625,0.137931034,0.138683432,0.469072165,0.254545455,0.154639175,0.10263428,Charlotte,41,97,9,28,15,18,14,27,41,21,14,5,12,12,5,101.1808494,104.7629078,125.5178235,3IN4,1,0.191847375
21800042,10/22/2018,-10,222,-11.5,227,101.8735106,Milwaukee,H,45,96,17,40,17,24,19,36,55,27,18,5,14,15,9,124,113,101.8735106,121.7195709,110.921867,2,0.557291667,0.37254902,0.177083333,0.123395854,0.505050505,0.234042553,0.131313131,0.102040816,New York,45,99,10,29,13,15,11,32,43,22,21,6,11,12,2,101.8735106,110.921867,121.7195709,3IN4,1,0.052241162
21800043,10/22/2018,-2,221.5,-2,229.5,99.33546628,Minnesota,H,36,85,7,33,22,24,8,39,47,24,17,9,15,15,12,101,91,99.33546628,101.6756691,91.60877117,3IN4,0.464705882,0.195121951,0.258823529,0.135672938,0.434782609,0.235294118,0.119565217,0.131532796,Indiana,36,92,8,26,11,16,12,33,45,18,24,6,15,15,6,99.33546628,91.60877117,101.6756691,3IN4,1,0.029923274
21800044,10/22/2018,-4.5,228.5,-5,229,99.011625,Dallas,H,40,93,15,47,20,21,13,28,41,25,16,8,15,16,2,115,109,99.011625,116.1479776,110.0880831,1,0.510752688,0.325,0.215053763,0.135317997,0.59375,0.2,0.175,0.175535846,Chicago,41,80,13,23,14,21,7,27,34,18,29,6,19,19,4,99.011625,110.0880831,116.1479776,1,1,-0.082997312
21800045,10/22/2018,-9,218,-11,213.5,95.41278446,Utah,H,29,82,8,32,18,23,10,40,50,18,22,6,15,15,6,84,92,95.41278446,88.03851651,96.42313713,2,0.402439024,0.217391304,0.219512195,0.140029873,0.422619048,0.14893617,0.25,0.103344607,Memphis,31,84,9,28,21,26,7,36,43,18,22,10,10,11,2,95.41278446,96.42313713,88.03851651,2,0,-0.020180023
21800046,10/22/2018,-4.5,226,-4.5,228,107.8268866,Portland,H,43,108,11,39,27,31,17,53,70,22,22,6,19,20,4,124,125,119.058854,104.150171,104.9900917,1,0.449074074,0.288135593,0.25,0.14120305,0.486363636,0.184615385,0.163636364,0.076080341,Washington,46,110,15,37,18,26,12,42,54,23,27,6,10,10,7,119.058854,104.9900917,104.150171,1,0,-0.037289562
21800047,10/22/2018,-13,228.5,-12.5,227.5,102.5687917,Golden State,H,45,88,14,37,19,26,7,33,40,35,24,12,14,14,4,123,103,102.5687917,119.9195174,100.4204089,3IN4-B2B,0.590909091,0.175,0.215909091,0.123413258,0.505813953,0.266666667,0.186046512,0.182735816,Phoenix,39,86,9,34,16,18,12,33,45,24,21,8,21,21,1,102.5687917,100.4204089,119.9195174,1,1,0.085095137
21800048,10/22/2018,-1,222.5,-2,226.5,103.6393968,LA Lakers,H,55,107,14,39,18,26,13,39,52,33,29,5,15,15,6,142,143,114.4351673,124.0877287,124.9615859,1,0.579439252,0.26,0.168224299,0.112410072,0.592783505,0.204081633,0.288659794,0.073337679,San Antonio,50,97,15,28,28,38,10,37,47,32,26,9,9,9,3,114.4351673,124.9615859,124.0877287,1,0,-0.013344253
21800049,10/23/2018,3,219,1,214.5,100.9533817,Detroit,H,51,108,12,33,19,27,12,34,46,22,24,4,8,8,4,133,132,111.469359,119.3152999,118.4181924,2,0.527777778,0.230769231,0.175925926,0.062558649,0.571428571,0.19047619,0.204081633,0.090669304,Philadelphia,49,98,14,43,20,28,8,40,48,32,24,3,11,11,8,111.469359,118.4181924,119.3152999,2,1,-0.043650794
21800050,10/23/2018,-5.5,233,-5.5,237.5,104.1728,New Orleans,H,40,93,6,24,30,40,12,36,48,22,24,12,8,8,8,116,109,104.1728,111.3534435,104.6338392,3+,0.462365591,0.24,0.322580645,0.067453626,0.5,0.2,0.252873563,0.146703486,LA Clippers,41,87,5,20,22,27,9,38,47,18,26,5,16,17,4,104.1728,104.6338392,111.3534435,1,1,-0.037634409
21800051,10/23/2018,-11.5,227,-12,229.5,100.3489535,Denver,H,51,99,11,30,13,15,15,34,49,31,22,11,12,12,3,126,112,100.3489535,125.5618476,111.6105312,3IN4,0.570707071,0.333333333,0.131313131,0.102040816,0.598837209,0.209302326,0.104651163,0.144404332,Sacramento,45,86,13,31,9,20,9,30,39,29,17,7,16,16,6,100.3489535,111.6105312,125.5618476,1,1,-0.028130139
21800052,10/24/2018,2.5,231.5,2,236,108.1340566,Atlanta,H,37,91,15,38,22,31,10,44,54,28,26,6,15,15,6,111,104,108.1340566,102.6503615,96.17691527,2,0.489010989,0.188679245,0.241758242,0.125376128,0.483516484,0.169811321,0.175824176,0.142330877,Dallas,38,91,12,40,16,26,9,43,52,25,27,7,17,17,9,108.1340566,96.17691527,102.6503615,1,1,0.005494505
21800053,10/24/2018,-3,228,-2.5,226,94.9857094,Cleveland,H,34,89,3,18,15,16,16,37,53,18,19,5,15,15,2,86,102,94.9857094,90.53993547,107.3845746,2,0.398876404,0.307692308,0.168539326,0.135086455,0.517241379,0.177777778,0.137931034,0.130111524,Brooklyn,38,87,14,34,12,15,8,36,44,23,16,8,14,14,1,94.9857094,107.3845746,90.53993547,3+,0,-0.118364975
